,term,definition
422,интерфикс, между и fixus — укрепленный) — см. Аффикс.
423,интонация," громко произношу) — единство взаимосвязанных компонентов: мелодики, интенсивности, длительности, темпа речи и тембра произнесения. Некоторые исследователи включают в состав компонентов интонации паузы. Вместе с ударением интонация образует просодическую систему языка (см. Просодия). Интонация является важным средством формирования высказывания и выявления его смысла."
424,инфикс," вставленный, прикреплённый) — см. Аффикс."
425,инфинитив," неопределённый) (неопределённая форма, устар. — неопределённое наклонение) — нефинитная форма глагола (вербоид), существующая во флективных и агглютинативных языках (см. Типологическая классификация языков) и используемая для оформления сказуемого, а также слов с предикатным значением в позициях именных членов предложения. В отличие от финитных форм в инфинитиве морфологически не выражены такие категории глагола, как абсолютное время, наклонение и, как правило, лицо и число. Благодаря меньшей категориальной нагруженности инфинитив в описаниях ряда языков используется как словарная форма (представитель глагольной лексемы в словаре)."
426,информационно-поисковые языки,См. Искусственные языки.
427,ираквские языки,"Южная подгруппа кушитских языков. Распространены в Северной Танзании (юго-запад провинции Аруша). Число говорящих около 400 тыс. чел. И. я. включают близкородственные языки: иракв (мбулу, мбулунге), горова (фиоме), алагва (васи), бурунге."
428,иранистика,"18 вв. В России первые переводчики с персидского языка появились в начале 18 в., в 1732 началось преподавание персидского языка в Коллегии иностранных дел, с 1804 было введено в университетах. Сбор материалов по иранским языкам (осетинскому, афганскому, курдскому, персидскому) с лингвистическими целями впервые был предпринят И. А. Гюльденштедтом в 70‑е гг. 18 в. в связи с подготовкой труда «Сравнительные словари всех языков и наречий», изданного в 1787 П. С. Палласом. В конце 18 в. С. Г. Гмелиным были сделаны первые записи материалов по гилянскому языку."
429,иранские языки," в Таджикской ССР, Северо-Осетинской АССР и Юго-Осетинской АО, некоторых других районах Кавказа и Средней Азии. Прежде существовали в виде отдельных очагов также в Северном Причерноморье, Туркмении, Восточном Туркестане, на Восточном Памире. Общее число говорящих 81 млн. чел."
430,ирландский язык,"Один из кельтских языков. Распространён в Ирландии, где он является официальным языком наряду с английским, Северной Ирландии, отчасти в США, Великобритании и других странах. Число говорящих около 600 тыс. чел. (большая часть ирландцев, общее число которых достигает 7,6 млн. чел., пользуется английским языком). Выделяются 3 диалектные зоны, мунстерская, коннахтская и ульстерская, которые, в свою очередь, подразделяются на многочисленные поддиалекты и говоры. Различия между ними значительны, в некоторых случаях вплоть до отсутствия взаимопонимания."
431,ирокезские языки," северную (языки сенека, онеида, онондага, каюга, тускарора, могавк, гурон и исчезнувшие в ранний период европейской колонизации сускеханнок, конестога, андасте, ноттовей и лаврентийский) и южную, включающую наиболее распространённый язык чероки, или чироки."
432,искусственные языки,"Знаковые системы, создаваемые для использования в тех областях, где применение естественного языка менее эффективно или невозможно. И. я. различаются по специализации и назначению, а также по степени сходства с естественными языками."
433,исландский язык,"13 вв. была очень близка к фонологической системе норвежского языка, характерно, в отличие от других скандинавских языков, различение долгих и кратких дифтонгов, наличие только глухих смычных (сильные аспирированные противопоставлены слабым неаспирированным), глухих сонантов, преаспирации (придыхания, предшествующего смычному). Слоговое равновесие — ударный слог всегда долгий. Ударение падает на первый слог. Исландский язык в большей мере, чем другие скандинавские языки, сохранил древнюю систему словоизменения (флективные формы). В лексике мало заимствований, новые понятия получают собственно исландское обозначение (например, erfðafræði — генетика, от erfð — наследование и fræði — наука). Письменность (с конца 11 — начала 12 вв.) на основе латинского алфавита. Древнейшие памятники восходят ко 2‑й половине 12 в. В 16 в. появились первые печатные книги. Современная орфография близка древнеисландской. Литературный язык имеет богатую литературную традицию."
434,испанский язык," с кечуа и аймара, в Пуэрто-Рико — с английским языком). Распространён также на Филиппинах, в бывших колониях и зонах испанского протектората в Африке (официальный язык Республики Экваториальная Гвинея), на юго-западе США. Общее число говорящих 300 млн. чел. Один из шести официальных и рабочих языков ООН. До конца 15 в. преобладало название «кастильский язык». По мере формирования испанского национального языка возобладал термин «испанский язык». В Латинской Америке употребляются оба термина, однако предпочтение отдаётся первому."
435,историзмы," ср. «фарисей» ‘лицемер’; «ярлык» ‘письменный указ хана’ — ср. «ярлык» ‘этикетка’). Историзмы принадлежат к пассивному словарю, но в отличие от архаизмов (см. Устаревшие слова) не имеют синонимов в активном словаре. В учебной и научной литературе используются в терминологическом значении, в художественной литературе — для создания исторического колорита."
436,историография лингвистики," направление исследований, посвящённых развитию знаний о языке в истории науки и культуры, теоретическому осмыслению этого развития, анализу теорий и концепций генезиса лингвистической мысли в целом, а также в её отдельных аспектах, традициях, течениях, направлениях, разделах и школах. Историография лингвистики иногда определяется термином «история языкознания», который, по сути, обозначает сам процесс развития знаний о языке."
437,италийские языки," первых веках н. э. в центральной и южной Италии. Проникновение италийских племен на Апеннинский полуостров сопровождалось распространением археологических культур террамара (начало 2‑го тыс. до н. э.) и вилланова (конец 2‑го — начало 1‑го тыс. до н. э.). Италийские языки традиционно делятся на 2 ветви — оскско-умбрскую и латино-фалискскую. Оскско-умбрская ветвь включает оскский и умбрский языки. Под первым обычно понимают совокупность диалектов сабельских племён — пелигнов, вестинов, марруцинов, самнитов и других. Ведущую роль играл, по-видимому, диалект кампанских осков, который лёг в основу языка оскских официальных документов. Памятники оскского языка датируются 5 в. до н. э. — 1 в. н. э. Памятники умбрского языка относятся к 3—1 вв. до н. э.; к этому языку близко стоит диалект вольсков. Ещё в 1444 близ Губбио (Умбрия) найдены были так называемые Игувинские таблицы (3—2 вв. до н. э.), но лишь в 1928 К. О. Мюллер установил, что язык таблиц не является этрусским. Известно ещё несколько языков (возможно, диалектов), которые с трудом поддаются классификации из-за скудости дошедших до нас материалов. Так, сикульский язык представлен несколькими надписями, небольшим числом глосс и ономастикой. О языке моргетов, энотров, опиков, авзонов и других племён надёжных данных нет. Некоторые лингвисты выделяют сикуло-авзонийский как особую ветвь италийских языков, для которой характерен переход индоевропейского *dh > t, другие связывают авзонийский (опико-сикульский) с латинским или умбрским. Ограниченность сведений затрудняет определение места южнопиценского языка. Экспансия Рима повлекла за собой романизацию италийских племён. В 1 в. до н. э. эпиграфические памятники на италийских языках исчезают, однако оскский язык оставался живым ещё в 1 в. н. э."
438,итальянский язык,"Один из романских языков (итало-романская подгруппа). Официальный язык Итальянской Республики, Ватикана (наряду с латинским языком), Республики Сан-Марино и Швейцарской Конфедерации (наряду с немецким, французским и швейцарским ретороманским). Распространён также в США, ФРГ, Аргентине, Франции, Бельгии, Эфиопии, Сомали, Ливии и на Мальте. Общее число говорящих свыше 65 млн. чел."
439,ительменский язык," камчадальский язык) — один из чукотско-камчатских языков. Распространён на западном побережье полуострова Камчатка. Число говорящих около 200 чел. старшего поколения. Большинство ительменов пользуется русским языком. Принадлежность И. я. к чукотско-камчатским языкам признаётся не всеми исследователями. К 20 в. сохранился лишь «западный ительменский язык», который был либо диалектом, либо одним из языков ительменской ветви чукотско-камчатских языков, распространённым по всей Камчатке, начиная от 58° северной широты."
440,ишкашимский язык, провинция Бадахшан на северо-востоке Афганистана; на территории СССР — в Горно-Бадахшанской АО Таджикской ССР. Число говорящих в СССР около 700 чел. Выделяются 2 диалекта: собственно ишкашимский (на территории СССР) и сангличский (в Афганистане). От близкородственных памирских языков И. я. отличается наличием церебрального ряда согласных (эта черта присуща также ваханскому языку); богатством форм в системе личных и указательных местоимений; особым окончанием 3‑го л. ед. ч. в глагольной форме настояще-будущего времени; наличием особых предлогов и послелогов; некоторыми лексическими особенностями. Разрабатывается письменность на основе русского алфавита.
441,йельская школа,См. Дескриптивная лингвистика.
442,йоруба," двусмычные лабио-велярные gᵇ, kᵖ. Язык тональный, имеет три фонематических тона: высокий, низкий, средний; каждый слог на одну ступень выше или ниже следующего, переходы от тона к тону плавные. Характерна элизия звуков и слогов (выпадают гласные на стыках слов, иногда — слоги, при этом тон в оставшейся части слова модифицируется). Распространены идеофоны."
443,кабардино-черкесский язык," один из абхазско-адыгских языков. Распространён в Кабардино-Балкарской АССР, Карачаево-Черкесском АО, в городе Моздок и части прилегающих к нему хуторов Ставропольского края, в аулах Краснодарского края, Адыгейской АО. Число говорящих около 370 тыс. чел. (1979, перепись). В кабардино-черкесском языке 5 диалектов: собственно кабардинский, моздокский, черкесский, бесленеевский и кубанский. В основе литературного языка лежит речь кабардинцев Большой Кабарды. В отличие от адыгейского языка имеет спиранты в, фӀ (в адыгейском языке «в» встречается только в заимствованиях из русского языка); в исконных неодносложных словах с конечными э, ы отсутствует ударение на последнем слоге. Имеет ряд специфических морфологических черт в формах времён и наклонений, статичности и динамичности, в образовании числительных, в передаче отрицания, в показателях эргативного падежа. В лексике отмечаются осетинизмы, не представленные в адыгейском языке."
444,кабильский язык,"Один из берберо-ливийских языков. Распространён в горных районах северного Алжира. Число говорящих около 2,6 млн. чел. Различаются диалекты Большой и Малой Кабилии."
445,кавказоведение,"12 вв. характеризуются деятельностью грузинских филологов эллинофильского направления по изучению адекватности переводов. В позднем средневековье обозначились две линии развития кавказоведения: начало грузиноведения в Европе (практические пособия С. Паолини, Н. Ирбаха и Ф. М. Маджо) и работы в области лексикографии и грамматики в Грузии (толковый словарь Сулхана Сабы Орбелиани, а также грамматики З. Шаншовани и Антония I, строившиеся на основе так называемой рациональной грамматики, см. Универсальные грамматики)."
446,кавказские (иберийско-кавказские) языки," нахскую и дагестанскую. Абхазско-адыгские и нахско-дагестанские языки нередко именуются северокавказскими (или горскими иберийско-кавказскими), в отличие от картвельских, или южнокавказских, локализованных в Закавказье."
447,кадайские языки," 1500 чел. (перепись 1979 в СРВ). Численность народа гэлао в КНР 55 тыс. чел., но бо́льшая часть его не владеет этим языком."
448,казанская лингвистическая школа," Н. В. Крушевский, В. А. Богородицкий, А. И. Анастасиев, А. И. Александров, Н. С. Кукуранов, П. В. Владимиров и другие) работали в Казани в 1875—83. К К. л. ш. принадлежали также В. В. Радлов, С. К. Булич, К. Ю. Аппель. Идеи К. л. ш. изложены в подробных программах лекций, читанных Бодуэном де Куртенэ в этот период в Казанском университете, в книге Крушевского «Очерк науки о языке» (1883) и в его посмертно изданных «Очерках по языковедению» (1891—93), в работах Богородицкого «Очерки по языковедению и русскому языку» (1901; 4 изд., 1939), «Лекции по общему языковедению» (1911) и других, в статьях Анастасиева «Морфологический анализ слова» (1884—1887), «Отношение звуков русского языка к буквам русской азбуки» (1879) и других."
449,казахский язык," в КНР, МНР, Иране, Афганистане, Пакистане и Турции. Общее число говорящих около 8 млн. чел. (в т. ч. в СССР — около 6,4 млн. чел.; 1979, перепись). Чёткого диалектного членения не имеет. В лексике и фонетике некоторых говоров имеются незначительные отличия."
450,каили-памона языки," одна из групп австронезийской семьи языков (см. Австронезийские языки). Традиционно К.‑п. я. относили к индонезийским языкам. По Р. Бласту, входят в западную «подветвь» малайско-полинезийской ветви австронезийской семьи языков. Распространены в северной половине центральной части острова Сулавеси и на островах Тогиан. К К.‑п. я. относятся языки баре’э (другие названия — памона и посо, занимает всю восточную половину ареала К.‑п. я.), ледо, кулави, ума, бада и другие. От К.‑п. я. следует отличать южносулавесийский садданский язык, часто называемый «тораджа»."
451,калмыцкий язык, дербетский и торгутский (каждый с подговорами).
452,калька," копия) — образование нового фразеологизма, слова или нового значения слова путём буквального перевода соответствующей иноязычной языковой единицы. Словообразовательные кальки — поморфемный перевод иноязычного слова (рус. «внутримышечный» — перевод латинского intramuscularis; intra- ‘внутри’, muscul- ‘мышца’, ‑ar- ‘‑н‑’, ‑is ‘‑ый’). Семантическая калька — заимствование переносного значения слова, например рус. «ограниченный» ‘туповатый, недалёкий’ из франц. borné ‘ограниченный’ — о территории и о человеке. Фразеологические кальки — пословный перевод фразеологизма (рус. «слепое повиновение» из нем. blinder Gehorsam: blind ‘слепой’, Gehorsam ‘повиновение’). Полукалька — разновидность словообразовательной кальки, когда переводится только часть слова (рус. «антитело» — франц. anticorps, рус. «желтофиоль» — нем. Gelbviole). Ложная калька возникает вследствие ошибочного понимания морфолого-семантической структуры иноязычного слова: русское название растения орлики ‘аквилегия’ является переводом лат. aquilegia, воспринятого как производное от aquila ‘орёл’. Кальки возникают как реакция носителей языка на резкое увеличение числа прямых заимствований. Соотношение калек и прямых заимствований в разных языках различно. В некоторых языках (исландский, тибетский) калькирование — почти единственный способ освоения иноязычной лексики. Кальки изучаются этимологией и лексикологией."
453,камасинский язык," канмажи) — племени саянских самодийцев, насчитывавшего в 17 в. около 500 чел. и жившего в южной части современного Красноярского края РСФСР по рекам Кан и Мана. С течением времени камасинцы либо полностью охакасились, либо обрусели. В конце 19 — начале 20 вв. К. я. существовал только в устной форме, но ещё в 1‑й половине 20 в. перестал функционировать как средство общения и к началу 80‑х гг. представлен единственной престарелой носительницей. Одним из диалектов К. я. является так называемый койбальский (самодийский) язык, известный по записям 18 — начала 19 вв. (ныне название «койбальский» относится к одному из диалектов хакасского языка)."
454,кана,См. Японское письмо.
455,каннада," в штатах Махараштра, Тамилнад и Андхра-Прадеш). Общее число говорящих около 30,7 млн. чел."
456,канури," в штате Борно (Борну) на северо-востоке Нигерии, а также прилегающих районах Нигера, Камеруна, Чада. Канембу распространён преимущественно к востоку от озера Чад. Число говорящих свыше 4,67 млн. чел. (преимущественно на собственно канури). Имеется ряд племенных и/или территориальных диалектов, среди которых специфичны квайам, мобер, манга."
457,канцеляризмы,"Слова, устойчивые словосочетания, грамматические формы и конструкции, употребление которых в литературном языке закреплено традицией за официально-деловым стилем, особенно за канцелярско-деловым подстилем. Примеры канцеляризмов: «уведомление», «надлежит»; «оказывать помощь» (вместо «помогать»), «настоящим доводится до вашего сведения»; «согласно чего» с родительным падежом вместо общелитературного дательного; многокомпонентные именные конструкции с родительным падежом типа «взыскание с работника имущественного ущерба» и т. п."
458,капитальное письмо,См. Латинское письмо.
459,капучинский язык,См. Бежтинский язык.
460,караимский язык, в Польше и некоторых других странах.
461,каракалпакский язык," северо-восточный и юго-западный, обладающих рядом различий в фонетике."
462,каратинский язык," один из аваро-андийских языков (см. Аваро-андо-цезские языки). Распространён в нескольких аулах Ахвахского района и в селе Сиух Хасавюртовского района Дагестанской АССР. Число говорящих около 6 тыс. чел. Имеет собственно каратинский (с анчихским, арчойским, рачабалдинским и рацитлинским говорами) и токитинский диалекты. От других андийских языков К. я. отличают отсутствие аффектива, или аффективного падежа (он сохраняется в токитинском диалекте), противопоставление элатива и транслатива (в токитинском диалекте) в системе местных падежей, наличие суффикса прилагательных ‑xӀуб, выражающего высокую степень качества (например, гьинкӀ′ахӀуб ‘большущий’ от гьинкӀ′а ‘большой’). Язык бесписьменный."
463,карачаево-балкарский язык,"Один из тюркских языков. Распространён в Кабардино-Балкарской АССР и Карачаево-Черкесской АО РСФСР, а также частично в Киргизской ССР, Казахской ССР и Узбекской ССР. На нём говорят карачаевцы и балкарцы. Числе говорящих свыше 190 тыс. чел. (1979, перепись)."
464,карельский язык,"Один из прибалтийско-финских языков. Распространён в Карельской АССР и Калининской области РСФСР и частично в Ленинградской и Новгородской областях РСФСР. Число говорящих 77 тыс. чел. (1979, перепись)."
465,каренские языки, 190 тыс. чел.
466,карибские языки," одна из семей индейских языков Южной Америки. Насчитывает свыше 100 языков, распространённых на территории Гайаны, Суринама, Французской Гвианы, Венесуэлы, северной Бразилии и частично в Колумбии и внутренних районах Бразилии. Общее число говорящих около 170 тыс. чел. Наличие карибского суперстрата отмечается также в так называемом островном карибском языке на Малых Антильских островах и в Центральной Америке, относящемся к аравакской языковой семье."
467,карийский язык,Один из хетто-лувийских языков. Был распространён среди автохтонного населения исторической области Кария на юго-западе древней Малой Азии.
468,карта диалектологическая,"Карта распространения отдельных диалектных явлений или диалектов одного или нескольких соседних языков. Карты отдельных языковых явлений могут быть результатом монографического изучения явления например, «Карта великорусских говоров с неорганическим смягчением задненёбных» Д. К. Зеленина в его книге 1913) либо частью диалектологического (лингвистического) атласа (см. Атлас диалектологический, Атлас лингвистический). По характеру представленного материала возможны К. д., отражающие простые, одноплановые диалектные различия и сложные, многоплановые, совмещающие несколько противопоставлений одновременно, иногда относящихся к разным уровням языка. Другим видом обобщения является сводная К. д., на которой объединяется несколько однотипных явлений, обычно представленных изоглоссами. Результатом анализа и обобщения всех частных карт данной территории является карта диалектов. Так, К. д. русского языка, составленная на основе «Диалектологического атласа русского языка», выделяет в качестве величин диалектного членения наречия, диалектные зоны, группы и подгруппы говоров."
469,картвельские языки," южная группа кавказских (иберийско-кавказских) языков. Распространены в основном в Грузинской ССР, частично в Азербайджанской ССР, Турции и Иране. Число говорящих около 3,8 млн. чел. Включают 4 языка: грузинский, мегрельский, лазский (чанский) и сванский. Мегрельский и лазский образуют занскую подгруппу и нередко рассматриваются как единый занский язык, однако такому объединению противоречит отсутствие у их носителей языкового взаимопонимания, единого сознания народности, а также общего литературного языка. Мегрельский, лазский, грузинский языки имеют большое число однородных новообразований, в отличие от сванского, характеризующегося рядом архаизмов."
470,касситский язык,"1‑м тыс. до н. э. в Западном Иране, на территории современного Луристана, проникал на территорию Вавилонии. Из анализа касситско-аккадского словарика, касситских имён собственных и глосс, встречающихся в аккадских текстах, удаётся выявить около 100 корней К. я. и несколько суффиксов (видимо, агглютинативных). Предположение о родстве К. я. с эламским (Ф. Делич, Г. Хюзинг, И. М. Дьяконов) пока достаточных подтверждений не получило."
471,катакана,См. Японское письмо.
472,каталанский язык,"Один из романских языков (иберо-романская подгруппа). Распространён в Испании (автономные области Каталония, Валенсия, Балеарские острова), Франции (историческая область Руссильон, департамент Восточные Пиренеи), государстве Андорра и в городе Альгеро (остров Сардиния, Италия). Официальный язык названных автономных областей Испании (наряду с испанским языком) и государства Андорра (наряду с испанским и французским языками). Число говорящих 7,8 млн. чел. Имеет 2 группы диалектов: восточную (барселонский, балеарский, руссильонский, альгерский) и западную (лериданский, валенсийский)."
473,категории понятийные,См. Понятийные категории.
474,категория," в широком смысле — любая группа языковых элементов, выделяемая на основании какого-либо общего свойства; в строгом смысле — некоторый признак (параметр), который лежит в основе разбиения обширной совокупности однородных языковых единиц на ограниченное число непересекающихся классов, члены которых характеризуются одним и тем же значением данного признака (например, «категория падежа», «категория одушевлённости​/​неодушевлённости», «категория вида», «категория глухости​/​звонкости»). Нередко, однако, термином «категория» называется одно из значений упомянутого признака (параметра), например «категория винительного падежа», «категория неодушевлённости», «категория совершенного вида», «категория глухости», «категория состояния»."
475,каффа, один из омотских языков. Распространён в провинции Кэфа на юго-западе Эфиопии. Число говорящих около 380 тыс. чел.
476,кашмири,"Один из дардских языков. Распространён в Кашмирской долине (Северный Индостан). Число говорящих около 3,4 млн. чел. Официальный язык штата Джамму и Кашмир в Индии. Диалекты: собственно кашмири (лежащий в основе литературного языка), каштавари, погули, сираджи, рамбани."
477,ква языки," акан (тви-фанти), затем эве (эвегбе), ган, адангме; йоруба; нупе; эдо; идома; игбо; иджо."
478,квазиалфавитное письмо," слоговое письмо, состоящее из знаков, каждый из которых выражает один определённый согласный с произвольным или нулевым гласным. В К. п. один и тот же знак передаёт звукосочетания Ca, Ce, Ci, Cu, Co, Cø. Как исходное значение знака обычно рассматривается «согласный + a». К. п. было изобретено западными семитами во 2‑м тыс. до н. э., видимо, с учётом опыта других письменностей Средиземноморья (египетской, крито-микенской, лувийской иероглифической) и, возможно, на основе протобиблского слогового письма. Засвидетельствовано с конца 2‑го — середины 1‑го тыс. до н. э. (клинообразное угаритское письмо, линейные синайское, финикийское, южноаравийское и другие аравийские виды письма). Из всех письменностей К. п. является наиболее экономной по числу употребляемых знаков (букв) и скорости изучения, но тексты, писанные К. п., были трудны для однозначного прочтения, особенно до введения словоразделов. В дальнейшем К. п. было усовершенствовано либо путём введения матрес лекционис (в западносемитских письменностях), либо путём модификации форм букв для согласных в зависимости от сопровождающего гласного (в эфиопской, индийской письменностях). Матрес лекционис применялись либо факультативно (в финикийском, древнееврейском, арамейском), либо систематически (в арабском письме)."
479,кельтиберский язык,"6 вв. до н. э. По факту сохранения старого лабио-велярного К. я. относят к так называемой q-ветви кельтских языков. К. я. отмечен крайне архаичными чертами: в фонологической системе сохранен старый дифтонг *ei, старый *ē (перешедший в ī в других кельтских языках), интервокальные ‑s‑, ‑w‑ и т. д.; в морфологии имеется генитив на ‑o (из индоевропейского аблатива на *‑ōd), номинатив множественного числа на ‑os; возможно, сохранялись инструменталис и локатив. В глагольной системе отмечаются и специфические инновации: «агглютинативная» флексия ‑tus в 3‑м л. мн. ч. претерита и императива. Весьма архаичен синтаксис: свободный порядок слов, двойной союз ‑cue ‘и’ при однородных членах предложения, двойной разделительный союз ‑ue ‘или’, относительные предложения с союзами io‑ и cua‑ и т. п. Показательно сохранение лексем, имеющих соответствия лишь в индоиранских языках: союз uta ‘также’, сущ. bouśtom ‘стойло для коров’ и др. Изучение К. я. затруднено по нескольким причинам: малое число надписей (многие представляют собой монетные легенды), их фрагментарный характер. Некоторые записаны латинским алфавитом, но большинство — иберийским письмом, мало приспособленным для К. я., так как оно не передавало противопоставления звонких и глухих смычных, вследствие чего не отражались консонантные группы, невозможна была передача согласного исхода слова, за исключением сонантов и ‑s. Материалы К. я. крайне важны для сравнительно-исторического изучения как кельтских языков, так и индоевропейских в целом."
