,term,definition
246,dialect,A traditional term referring to a variety of a language spoken in a certain place. There are urban and rural dialects. The boundaries between dialects are always gradual. The term dialect is used to denote a geographically distinct variety of a language. Two major points in this connection should be noted: 1) 'dialect' does not refer to the social or temporal aspect of language and 2) the term 'dialect' makes no reference to the standard variety of a language. In connection with the latter point it is important to stress that the standard of a language is nothing more than a dialect which achieved special political and social status at some stage in the past and which has been extensively codified orthographically.
247,ethnography of communication,"The study of cultural differences in acts of communication. This is a comprehensive term which goes beyond simple differences in language to cover additional aspects such as formulaic use of language (e.g. in greeting or parting rituals), proxemics (the use of distance between partners in a conversation) and kinesics (the study of body movements used in communication)."
248,honorific,"A specific use of language to express deference in a social context. This can encompass special pronominal forms (T- and V-forms in continental European languages) and fixed titular phrases (Mr., Mrs., Ms., etc. in English) or special adjectives (honourable, reverend, esquire)."
249,hypercorrection,"A kind of linguistic situation in which a speaker overgeneralises a phenomenon which he/she does not have in his/her native variety. For example if a speaker from northern England pronounces butcher /butʃə/ with the vowel in but, i.e. as /bʌtʃə/, then this is almost certainly hypercorrection as he/she does not have the but-sound in his/her own dialect and, in an effort to speak 'correct' English, overdoes it. The same applies to native speakers of Rhenish German when they pronounce Kirschen like Kirchen when they are talking to speakers of High German."
250,idiolect,The language of an individual as opposed to that of a group.
251,interference,"The transfer of certain phenomena from one language to another where they are not considered grammatical. This may happen on an individual level (during second language learning, for example) or collectively in which case it often leads to language change."
252,langue,A term used by Saussure to refer to the collective knowledge of a community of the language spoken by its members.
253,linguistic stigma,The condemnation of certain forms in a language by the majority of a social group.
254,linguistic taboo,"Forbidding the use of certain forms. Taboo words change from generation to generation, e.g. the means of referring to sex and sexual practices, as older taboo words lose their strength and become part of general vocabulary."
255,parole,"A term deriving from Ferdinand de Saussure and which refers to language as it is spoken, contrast this with langue."
256,pidgin,"A language which arises from the need to communicate between two communities. Historically, and indeed in almost all cases, one of the communities is socially superior to the other. The language of the former provides the base on which the latter then creates the pidgin. A pidgin which has become the mother language of a later generation is termed a creole. Pidgins are of special interest to the linguist as they are languages which have been created from scratch and because they are not subject to the normalising influence of a standard. Classically pidgins arose during trade between European countries and those outside of Europe. The lexicon of a pidgin is usually taken from the lexifier language (the European one in question) and its grammar may derive from native input (such as the languages of West Africa during the slave trade with the Caribbean and America) or may take elements from the lexifier language or may 'invent' its own structures going on an innate blueprint which many linguists assume speakers have from birth. The further development of a pidgin is a creole, although this stage does not have to be reached if there is no necessity to develop a native language."
257,register,A style level in a language. When we speak we automatically locate ourselves on a specific stylistic level. This can vary depending on the situation in which we find ourselves. For example when talking to the postman one would most likely use a different register than when one is holding a public address.
258,sociolect,"A variety of a language which is typical of a certain class. Sociolects are most common in urban areas. In history, sociolects may play a role, e.g. in the formation of the English standard, Received Pronunciation, which derives from a city dialect (that of London in the late Middle Ages) but which has long since become a sociolect (Cockney being the dialect of London nowadays)."
259,sociolinguistics,The study of the use of language in society. Although some writers on language had recognised the importance of social factors in linguistic behaviour it was not until the 1960's with the seminal work of Labov that the attention of large numbers of linguists was focussed on language use in a social context. In particular the successful explanation of many instances of language change helped to establish sociolinguistics as an independent sub-discipline in linguistics and led to a great impetus for research in this area.
260,speech community,Any identifiable and delimitable group of speakers who use a more or less unified type of language.
261,standard,"A variety of a language which by virtue of historical accident has become the leading form of the language in a certain country. As a result of this, the standard may be expanded due to the increase in function which it experiences due to its position in society. There is nothing inherently superior about a standard although nearly all speakers of a community accept that it has highest prestige."
262,variety,"A term used to refer to any variant of a language which can be sufficiently delimited from another variant. The grounds for such differentiation may be social, historical, spatial or a combination of these. The necessity for a neutral term such as variety arose from the loaded use of the term dialect: this was not only used in the sense defined above, but also with the implication that the linguistically most interesting varieties of a language are those spoken by the older rural population. This view is understandable given the origin of dialectology in the 19th century, that is in the heydey of historical linguistics. Nowadays, sociolinguistic attitudes are prevalent and the need for a term which can include the linguistic investigation of urban populations from a social point of view became evident."
263,vernacular,The indigenous language or dialect of a community. This is an English term which refers to purely spoken forms of a language.
264,acquisition," his/her native language. This narrower, linguistic definition restricts acquisition to the period of childhood. Acquisition is unconscious, largely unguided and shows a high degree of completeness compared to second language learning."
265,behaviourism,"One of the main schools of thought in 20th century psychology which maintains that language acquisition proceeds by imitation. It contrasts with nativism which assumes that knowledge of language is innate, the view behind the generative grammar view of language acquisition."
266,critical period,A period in early childhood in which language acquisition is most effective (roughly the first 6 years). If exposure to a language begins considerably later then acquisition rarely results in native-like competence. The watershed for successful natural language acquisition is puberty after which it is nearly always incomplete.
267,first language,The language which is acquired initially by a child and which is his/her native language. For bilinguals another language may be acquired more or less simultaneously though a situation in which two languages are absolutely equal does not probably exist.
268,innateness hypothesis,"In language acquisition studies, the notion that children are born with a predisposition to learn language. It contrasts explicitly with the notion that knowledge of language is gained by experience (a view typical of behaviourism in psychology)."
269,intuition,A term referring to unconscious knowledge about his/her native language which a speaker has. Intuition is used frequently when speakers are asked to judge the grammaticality of sentences.
270,language acquisition,The process by which children acquire knowledge about their native language in their early childhood. Acquisition is distinguished from learning which refers to gaining knowledge of a second language in later life.
271,language acquisition device,"A postulated pre-disposition for learning language which all humans are born with and which enables any child to learn any language in a remarkably short period of time. According to this view, the LAD consists of the structural features which are common to all languages and specific to none."
272,overextension,"A phenomenon in first language acquisition where the child uses a narrow term in a very general sense, e.g. calling all males 'papa'."
273,psycholinguistics,"The study of language with reference to human psychology. The term has come to refer in particular to processes of language acquisition, especially of one's first language."
274,conversation analysis,The techniques for examining and structuring conversations or any type of social interaction which involves spoken language.
275,corpus," usually in electronic form, i.e. on disk — which has been compiled for the purpose of subsequent analysis. The number of corpora available has increased greatly since the spread of the personal computer in the 1980's. The most famous corpus for historical forms of English is the Helsinki Corpus of English."
276,dictionary," usually arranged in alphabetical order — about words in a language, such as their spelling, pronunciation, meaning and possibly historical origins, additional shades of meaning, typical combinations (collocations) and status vis à vis the standard of the language concerned."
277,discourse analysis,The investigation of the structure and patterning of discourse (human speech). It contrasts explicitly with analyses of written language or of contrived examples in linguistic works.
278,error,"A characteristic mistake made by learners of a second language, usually traceable to a structural feature of their native language."
279,mistake,An instance of incorrect usage in a foreign language which is apparently random; see Error.
280,second language teaching,"This is probably the main area of applied linguistics. There are many views on how a second language is learned, above all in comparison with the relative perfection of first language acquisition. Research here tends to concentrate on developing models to explain the process and ideally they should be applied to the actually teaching of foreign languages to improve results."
281,textlinguistics,"The investigation of the structure and style of texts, of pieces of language which consist of more than a single sentence."
282,borrowing,"The act of adopting some aspect of one language into another. It may be lexical (the most obvious and common type of borrowing) but also syntactic, morphological or phonological. The latter types of borrowing require that some section of the population be in direct contact with the second language. Lexical borrowing can be due to written influence as with the English loanwords in Modern German yielding so-called 'cultural borrowings'. Borrowing is one of the chief means of expanding the vocabulary of a language."
283,comparative method,"The method used in comparative philology. The technique involves comparing cognate forms from genetically related languages (such as those of the Indo-European family) with a view to reconstructing the proto-language from which all others can be taken to have derived. Such a method must take regular sound changes and later analogy into account. This allows one to link up forms which are superficially different but which can be traced back to a single form, itself usually non-attested. For instance English heart, German Herz, Latin cordia, Greek kardios can be shown to derive regularly from an Indo-European root *kerd."
284,contact, or at least in the lexicon — of one or both languages.
285,convergence,"In a general sense a process whereby two languages or varieties come to resemble each other more and more. In historical linguistics the term is often used to refer to a situation whereby two causes are taken to have led to a certain effect, e.g. where a feature in a present-day dialect is taken to derive from both substrate interference and language-internal developments."
286,drift,An imperceptible change in the typology of a language in a more or less constant direction as with the shift from synthetic to analytic in the course of the history of English.
287,etymological fallacy,"A common but erroneous opinion, found among lay speakers and historically with many authors before the advent of linguistics as a scientific discipline in the 19th century, that the oldest meaning of a word is the most genuine or correct. Note that the 'oldest meaning' is a fiction in itself as it is usually impossible to trace words back to their initial use, this lying in pre-history."
288,etymology,An area within historical linguistics which is concerned with the origin and development of the form and meaning of words and the relationship of both these aspects to each other.
289,family tree,A model of language development common in the last century (the term derives from August Schleicher) which sees languages as splitting further in a manner reminiscent of genetic relationships. A major alternative to this was the wave model of Johannes Schmidt (1870).
290,family,A group of languages that can be shown to stem from a single proto-language by a process of splitting at various points in the latter's history.
291,genetic classification,The arrangement of languages into groups on the basis of their historically recognisable relationships and not going on any similarity in structure.
292,grammaticalisation,"This is an historical process in language which refers to a change in status from lexical to grammatical for certain elements, frequently due to semantic bleaching (loss of lexical meaning). For instance the (archaic) adverb/adjective whilom 'formerly, erstwhile' derives from a dative plural of the Old English word hwīlom 'at times' which was with time not felt to be an inflected noun but a different word class, an adverb or adjective."
293,historical linguistics,The study of how languages develop over time as opposed to viewing them at a single point in time. The major direction in linguistics up until the advent of structuralism at the beginning of the 20th century.
294,internal reconstruction,One of the two major procedures of historical linguistics in which evidence from the internal development of a language is used in reconstructing earlier stages of the language. It contrasts explicitly with the comparative method which relies on evidence from related languages.
295,language change,"A process by which developments in a language are introduced and established. Language change is continual in every language and it is largely regular. However, the rate of language change is different among different languages. It depends on a number of factors, not least on the amount of contact and informational exchange with other linguistic communities on the one hand (this tends to further change) and the degree of standardisation and universal education in the speech community on the other hand (this tends to hamper change)."
296,language contact,"A situation in which speakers of two languages intermingle. The causes of this range from invasion and deportation to voluntary emigration to a new country. The results of this intermingling depend on external factors such as the relative status of the two linguistic groups and on internal factors such as the typological similarity of the languages involved, i.e. whether their grammatical structures are comparable or not."
297,language death,"The process by which a language ceases to exist. It is characterised by the switch over to some other language which surrounds the dying language and which is a superstratum to it, e.g. English vis à vis Manx on the Isle of Man in the middle of the present century."
298,law,A formulation of an ordered or predictable relationship between forms. Such laws can be diachronic or synchronic. An example of the former is Grimm's Law which states (simply) that Indo-European voiceless stops changed to corresponding fricatives at the beginning of Germanic. A synchronic law would be the devoicing of obstruents at the end of words (and syllables) in German. A law is taken to be virtually without exception.
299,lexical diffusion,"A type of language change in which a certain feature spreads slowly rather than establishing itself at once. Cases of lexical diffusion are characterised by incompleteness, otherwise it is not recognisable afterwards and is a case of normal change which affects the entire vocabulary. The lexical diffusion type of change usually ceases before it can cover all theoretical instances in a language, e.g. the lowering of short /u/ in the Early Modern English period which does not apply to instances before [ʃ] and after a labial stop: bush, push."
300,metonymy,"A type of semantic change in which a single aspect of a meaning or an attribute is used for the entire phenomenon, e.g. Whitehall for the English parliament, Paris for the French government, The White House for the American administration."
301,neogrammarian hypothesis,A view of language change which assumes that it proceeds gradually on a phonetic level but affects all words with the sounds undergoing the change simultaneously. This view was propounded in the 19th century by German linguists starting from Leipzig. It contrasts with the more recent view that change can proceed word by word through the lexicon (see Lexical Diffusion).
302,palatalisation,A common historical process whereby sounds produced at the velum are progressively shifted forward towards the palate. This is usually a change in manner of articulation from stop to affricate and possibly to fricative. Cf. /k/ &gt; /c/ &gt; /tæ/ &gt; /tʃ/ (&gt; /ʃ/) as can be seen in the development of Latin camera to Modern French chambre.
303,reconstruction,A technique for determining earlier forms of a language. This is achieved by analysing and comparing early attestations (first texts) in one or more languages.
304,substrate,A language which is socially less prestigious than another spoken in the same area but which can nonetheless be the source for grammatical or phonological features in the more prestigious language. Substratum influence is often quoted as being instrumental in the formation of pidgins and creoles and as being responsible for many instances of historical change.
305,superstrate,A variety of a language which enjoys a position of power and/or prestige compared to another. It may be a standard form of a language or a different language from that found natively in a specific country or region.
306,analytic,"A term used for a language which tends to use free morphemes to indicate grammatical categories. Examples are Modern English and French to a certain extent. Other languages, such as Chinese or Vietnamese, are very clearly analytic and approach a relationship of one word per morpheme."
307,cross-linguistic,Refers to phenomena which occur in several different languages or in investigations which draw on data from diverse languages.
308,isolating language,A language type where individual words do not vary in form and where grammatical categories and relations are indicated by separate words and/or by word-order. English is fairly isolating; Chinese much more so.
309,linguistic area,"A part of the world in which several genetically unrelated languages are spoken but which nonetheless show structural similarities. Such areas usually form an approximate geographical unit, e.g. the Balkans, the Caucasus, perhaps the eastern Baltic Sea region. The term is a translation of German Sprachbund, lit. 'language federation'."
310,linguistic universals,"A postulated set of linguistic features which are common to all languages and which ultimately derive from our psychological make-up and our perception of the world, e.g. the existence of subject, predicate, object or first, second and third pronouns in all languages."
311,polysynthetic,A reference to a language which has large complex words in which several grammatical categories are fused together. See Incorporating.
312,synthetic,"A language which is characterised by an extensive inflectional morphology, e.g. Latin and Modern German. This type contrasts with analytic and can be taken to have developed historically from the latter through centuries of change during which words fused together to give compound forms. For this reason new languages, like pidgins and creoles, are never synthetic in type."
313,typology,"The description of the grammatical structure of language independently of genetic relationships. There are many commonalities between languages which result from morphological principles so that this view of language structure is just as valid as an historical consideration. Furthermore, languages which occupy a geographically delimited area, for instance the Balkans, may come to share structural properties, irrespective of historical background or genetic affiliation."
314,typological classification,The ordering of language on the basis of shared grammatical structure rather than on historical or genetic grounds.
315,universal,"Any feature or property which holds for all languages. These are few and far between though near-universals, i.e. those which are good for the vast majority of languages, are more common and often more interesting in the insights which they lead to concerning the nature of human language in general."
316,morphology,]
317,abessive case,Abessive case is a case that expresses the lack or absence of the referent of the noun it marks. It has the meaning of the English preposition without.
318,adjunct,"An adjunct, broadly defined, is an optional constituent of a construction."
319,alternative question,An alternative question is a question that presents two or more possible answers and presupposes that only one is true.
320,antithesis relation,"An antithesis relation is a contrast relation in which:  the contrasted propositions express events or states that are incompatible with each other, and the speaker communicates positive regard (belief or preference) for one or the other."
321,ablative case,Ablative case is a case that expresses a variety of meanings including:  instrument cause location source time
322,adposition,"An adposition is a cover term for prepositions and postpositions. It is a member of a closed set of items that:  occur before or after a complement composed of a noun phrase, noun, pronoun, or clause that functions as a noun phrase, and form a single structure with the complement to express its grammatical and semantic relation to another unit within a clause."
323,alternative relation,"An alternative relation is an interpropositional relation in which at least one of the connected propositions is held to be true, but not necessarily, or perhaps not even possibly, all of them."
324,antonomasia,"Antonomasia is:  the use of a proper name to stand for something else having an attribute associated with that name, or the use of a general term to stand for a referent having a proper name."
325,absolute adjective,An absolute adjective is an adjective which functions as a noun.
326,adpositional phrase,An adpositional phrase is a phrase that has an adposition as its head.
327,ambiguous consonant sequence,"An ambiguous consonant sequence is a phonetic string (segment or sequence) that may be interpreted as:  a single consonant, or two successive consonants."
328,apostrophe,"An apostrophe is an address to:  an absent person, or a personified abstraction or thing."
329,absolute social deixis,Absolute social deixis is deictic reference to some social characteristic of a referent (especially a person) apart from any relative ranking of referents.
330,advanced tongue root,Advanced tongue root refers to the features of a sound made by drawing the root of the tongue forward. This feature distinguishes between tense vowels as [+ ATR] and lax vowels as [- ATR]
331,ambiguous phonetic transition,"An ambiguous phonetic transition is a phonetic segment, found between two distinct segments, that may serve only a connective function phonetically and may, therefore, not be a phonologically distinct segment."
332,apposition,An apposition is a construction consisting of two or more adjacent units that have identical referents.
333,absolute tense,Absolute tense is a tense that refers to a time in relation to the moment of utterance.
334,adverb (Grammar),"An adverb is a lexical category whose members have the same syntactic distribution and typically modify adjectives, other adverbs, verbs, or whole clauses or sentences."
335,ambiguous segment,An ambiguous segment is a phone that may or may not function as the nucleus of a syllable.
336,article,"An article is a member of a small class of determiners that identify a noun's  definite or indefinite reference, and new or given status."
337,absolute-relative tense,"Absolute-relative tense is a tense:  that refers to a time in relation to a temporal reference point that, in turn, is referred to in relation to the moment of utterance in which the time and the reference point are not identical, and the reference point and the moment of utterance are not identical."
338,adverb (Linguistics),"Here are two senses for adverb:  An adverb, narrowly defined, is a word belonging to a class of words which modify verbs for such categories as:  time manner place direction   An adverb, broadly defined, is a word belonging to a class of words which modify any constituent class of words other than nouns, such as:​  verbs adjectives adverbs phrases clauses sentences    Under this definition, the possible type of modification depends on the class of the constituent being modified."
339,ambiguous sequence,"An ambiguous sequence is a phonetic string, a segment or sequence, that may function as:  two phonological units, or a single unit."
340,articulation process,"The articulation process is the modification of sound waves produced by the airstream, phonation, and oral-nasal processes."
341,absolutive case,Absolutive case is the case of nouns in ergative-absolutive languages that would generally be the subjects of intransitive verbs or the objects of transitive verbs in the translational equivalents of nominative-accusative languages such as English.
342,adverbial clause,An adverbial clause is a clause that has an adverb-like function in modifying another clause.
343,ambiguous vowel sequence,"An ambiguous vowel sequence is a phonetic string (segment or sequence) that may be interpreted as a:  diphthong two separate vowels, or a vowel and a consonant."
344,ascertainment relation,"An ascertainment relation is an internal alternative relation in which a following proposition presents an alternative circumstance where a preparatory condition, of the illocutionary act that includes the previous proposition, is not met. The alternative is presented to make a query about the defectiveness or nondefectiveness of the illocutionary act."
345,abstract noun,An abstract noun is a noun that denotes something viewed as a nonmaterial referent.
346,adverbializer,"An adverbializer is a subordinating conjunction that:  links a subordinate clause to a main clause indicates that the subordinate clause has an ""adverbial"" or interpropositional relation to the main clause, indicating:  purpose condition time location"
347,americanist system,The Americanist system is a phonetic alphabet designed by Kenneth L. Pike and Eunice Pike after the model of Edward Sapir and Morris Swadesh.
348,aspect,Aspect is a grammatical category associated with verbs that expresses a temporal view of the event or state expressed by the verb.
349,accompaniment as a semantic role,"Accompaniment is the semantic role of a thing that participates in close association with an agent, causer, or affected in an event."
350,affix (Grammar),"An affix is a bound morpheme which adds lexical or syntactic information to a root or stem. Some languages have zero affixes, whereby meaning is conveyed by the absence of an affix."
351,amplification relation,An amplification relation is an elaboration relation in which a proposition substantially repeats the content of an earlier one and adds further information.
352,assertive illocutionary point,An assertive illocutionary point is an illocutionary point in which the speaker purposes to present that the state of affairs described by the propositional content of the utterance is actual.
353,account,An account is an explanation as to why a dispreferred second part is given as a response in an adjacency pair.
354,affix (Linguistics),"An affix is a bound morpheme that is joined before, after, or within a root or stem."
355,analytic definition,"An analytic definition is a description of the range of reference of a lexical unit. This description is made up of a:  generic term identifying the broad category to which it belongs, and modifying word or phrase which specifies its obligatory components of meaning, thus 	 restricting it to include only the appropriate referents, and distinguishing it from similar senses and words."
356,assumptive mood,Assumptive mood is an epistemic mode that signals the speaker's belief that his statement is based on facts about what is usually the case in such circumstances.
357,accusative case,"Accusative case is the case in nominative-accusative languages that marks certain syntactic functions, usually direct objects."
358,affixation,Affixation is the morphological process whereby an affix is attached to a root or stem.
359,anaphora,Anaphora is coreference of one expression with its antecedent. The antecedent provides the information necessary for the expression’s interpretation. This is often understood as an expression “referring” back to the antecedent.
360,attraction schema,"An attraction schema is a force schema in which an object exerts a force on another object, either physically or metaphorically, to pull it toward itself."
361,acoustic phonetics,Acoustic phonetics is the study of sound waves made by the human vocal organs for communication.
362,agent as a semantic role,Agent is the semantic role of a person or thing who is the doer of an event.
363,anaphoric clitic,"An anaphoric clitic is a morphologically bound morpheme that:  refers to a previously mentioned constituent, and fills the position of a noun phrase in a clause and is in complementary distribution with full noun phrases."
364,attributable silence,Attributable silence is conversational silence between turns that is assignable to a particular participant due to his having been selected by the previous speaker to speak next.
365,active voice,Active voice is a voice that indicates a subject has the semantic function of actor.
366,agglutinative language,An agglutinative language is a language in which words are made up of a linear sequence of distinct morphemes and each component of meaning is represented by its own morpheme.
367,anchored entity,An anchored entity is a brand-new entity that is linked to another referent which is not brand new by means of the inclusion of a referring expression in the noun phrase.
368,attribution relation,An attribution relation is an elaboration relation in which a proposition describes an attribute of a referent of another proposition.
369,actual implicature,An actual implicature is any potential implicature that is not canceled by its context.
370,agreement,Agreement refers to a formal relationship between elements whereby a form of one word requires a corresponding form of another.
371,animate class,An animate class is a category of nouns having human or animal referents.
372,audience,An audience is one or more persons who are part of the conversational group but who are not presently being addressed.
373,actual presupposition,An actual presupposition is any potential presupposition that is not canceled by its context.
374,alethic modality,Alethic modality is modality that connotes the speaker’s estimation of the logical necessity or possibility of the proposition expressed by his utterance.
375,antanaclasis,An antanaclasis is a pun in which a word is repeated with a different meaning each time.
376,auditory evidential,An auditory evidential is a nonvisual evidential that signals that the speaker's evidence for the truth of his statement is based on what he has heard.
377,additive relation,An additive relation is an interpropositional relation in which the propositions are judged either to be closely related or built one on another.
378,alienable noun,"An alienable noun is a noun that:  refers to something viewed as not permanently or necessarily possessed, and is thus not obligatorily expressed as possessed in a language that also has inalienable nouns."
379,antecedent,"An antecedent is a word, phrase, or clause referred to endophorically by another expression which precedes or follows it."
380,authorized recipient,"An authorized recipient is an addressee, having a unique status or belonging to a socially defined group, with whom one or more distinctive linguistic forms is used."
381,addressee,"An addressee is any of the immediate intended recipients of the speaker's communication, as grammaticalized in second person morphemes."
382,allative case,Allative case is a case that expresses motion to or toward the referent of the noun it marks.
383,anthimeria,"Anthimeria is the use of a member of one word class as if it were a member of another, thus altering its meaning."
384,authorized speaker,An authorized speaker is a speaker that belongs to a socially defined group for whom the use of a distinctive class of linguistic forms is reserved.
385,addressee honorific,"An addressee honorific is an honorific in a system in which a level of status of the addressee relative to the speaker is expressed through a choice made among linguistic alternants, irrespective of whether the alternants refer to the addressee."
386,allegory,"An allegory is an extended metaphor, especially a story in which fictional characters and actions are used to understand and express aspects of concepts relating to human existence."
387,anthology,"An anthology is a collection of of poems, stories, songs, articles, or other literary passages chosen by a compiler."
388,autosegmental phonology,"Autosegmental phonology is a non-linear approach to phonology that allows phonological processes, such as tone and vowel harmony, to be independent of and extend beyond individual consonants and vowels. As a result, the phonological processes may influence more than one vowel or consonant at a time."
389,adjacency pair,An adjacency pair is a unit of conversation that contains an exchange of one turn each by two speakers. The turns are functionally related to each other in such a fashion that the first turn requires a certain type or range of types of second turn.
390,allomorph,An allomorph is one of two or more complementary morphs which manifest a morpheme in its different phonological or morphological environments.
391,anticipatory illocution,An anticipatory illocution is an illocutionary act that has the direct illocutionary force of a question about the conditions necessary for the appropriateness of some other illocutionary act. The anticipatory illocution thus has the indirect illocutionary force of the latter.
392,auxesis,Auxesis is an exaggeration of the importance of a referent by the use of a referring expression that is disproportionate to it.
393,adjective,An adjective is a word that belongs to a class whose members modify nouns. An adjective specifies the properties or attributes of a noun referent.
394,allophone,An allophone is a phonetic variant of a phoneme in a particular language.
395,antipassive voice,"Antipassive voice is a voice in an ergative-absolutive language in which:  a noun phrase that normally has ergative case instead has absolutive case a noun phrase that normally has absolutive case is marked as an oblique or an indirect object, and the salience of the normally absolutive noun phrase is, according to some analysts, decreased."
396,auxiliary verb,"An auxiliary verb is a verb which:  accompanies the lexical verb of a verb phrase, and expresses grammatical distinctions not carried by the lexical verb, such as 	 person number tense aspect, and voice."
397,background relation,A background relation is an interpropositional relation in which one or more propositions are provided as information necessary for the proper understanding of some other proposition(s).
398,biconditional relation,"A biconditional relation is a relation between a consequent and a condition. The consequent is true or in force if and only if the condition is true, with the result that there is a conditional relation in both directions between the related propositions."
399,bound root,A bound root is a root which cannot occur as a separate word apart from any other morpheme.
400,brand-new entity,A brand-new entity is a referent that:  has not been mentioned previously in the discourse is assumed by the speaker to be previously unknown to the addressee
401,balance schema,"A balance schema is a force schema that:  provides an understanding of physical or metaphorical counteracting forces  is based on a prototypical schema consisting of countervailing forces acting on a target that is a:  point line plane    is based on bodily experience, such as maintaining  erect posture normal bodily states, such as temperature    may be applied metaphorically to provide an understanding of other experiences, such as balance of the visual field with respect to art"
402,blockage schema,A blockage schema is a force schema in which a force is physically or metaphorically stopped or redirected by an obstacle.
403,bound stem,A bound stem is a stem which cannot occur as a separate word apart from any other morpheme.
404,breathy vowel,"A breathy vowel is one produced by allowing a great deal of air to pass through a slightly open glottis, the aperture between the vocal chords."
405,beginning-postspan relation,A beginning–postspan relation is a temporal relation in which an event or state is expressed as marking the initiation of a durative event or state.
406,blocking circumstance,"A blocking circumstance is a factor, sometimes expressed along with a concession relation, that:  thwarts an expected event or state results in an unexpected event or state"
407,bounded deixis,Bounded deixis is place deixis that has a component of meaning indicative of a border.
408,bystander,A bystander is a person in a participant role of audience or unratified participant.
409,benefactive case,Benefactive case is a case that expresses that the referent of the noun it marks receives the benefit of the situation expressed by the clause.
410,bound morpheme,"A bound morpheme is a grammatical unit that never occurs by itself, but is always attached to some other morpheme."
411,boundedness,Boundedness is the presence or absence of a component of meaning indicative of a border at the location indicated in an expression of place deixis.
412,bystander honorific,A bystander honorific is an honorific in which the social status of some other person present is expressed through choices made among linguistic alternants. These choices:  are made based upon the person’s relationship to the speaker  do not depend on whether  the alternants refer to the person the person is the addressee
413,beneficiary as a semantic role,A beneficiary is the semantic role of a referent which is advantaged or disadvantaged by an event.
414,cardinal numeral,A cardinal numeral is a numeral of the class whose members are:  considered basic in form used in counting used in expressing how many objects are referred to
415,coding time,"Coding time is the time of  an utterance, or the writing of a message."
416,conceptual extendedness,"Conceptual extendedness is a semantic relationship between senses of a lexeme as currently recognized by speakers of a language. The progressive derivation of more figurative senses from the basic literal sense can be divided into three stages:  primary secondary figurative  In LinguaLinks, a sense in the lexical database may be classified by one of these categories to help in comparing it with other senses. The relationship of a particular sense to the primary sense, however, is somewhere on a continuum of conceptual extendedness. The classification is subjective, therefore, and should not be considered precise."
417,contrast in identical environments,"Contrast in identical environments is the difference between two phonetically similar segments that occur in two separate words and have identical adjacent sounds. If neither segment has been modified or affected by its environment, the segments are separate phonemes."
418,case,Case is a grammatical category determined by the syntactic or semantic function of a noun or pronoun.
419,collateral information,"Collateral information expresses a nonevent, something that did not or has not yet happened."
420,concession relation,A concession relation is a relation of unexpectedness between propositions. Some proposition(s) in the relation are expressed as unexpected (the contraexpectation) in light of some other proposition(s) (the concession).
421,contrast relation,A contrast relation is an interpropositional relation which expresses that a difference between one proposition and another is relevant.
422,cataphora,Cataphora is the coreference of one expression with another expression which follows it. The following expression provides the information necessary for interpretation of the preceding one. This is often understood as an expression “referring” forward to another expression.
423,collective noun,A collective noun is a noun that refers to a group of entities that may be considered either as individuals or as one larger entity.
424,concrete noun,A concrete noun is a noun that refers to what is viewed as a material entity.
425,contrastive analysis,Contrastive analysis is an inductive investigative approach based on the distinctive elements in a language.
426,causal relation,"A causal relation is an interpropositional relation in which the situation expressed by some proposition(s) is communicated as bringing about:  the situation expressed by some other proposition(s) (an external relation), or the usage of some other proposition(s) in a reasoning or argument from a premise (an internal relation)"
427,collocate,Collocates are lexemes that co-occur with each other in natural texts.
428,conditional relation,A conditional relation is a logical relation in which the illocutionary act employing one of a pair of propositions is expressed or implied to be true or in force if the other proposition is true.
429,conventional implicature,"Conventional implicature is an implicature that is:  part of a lexical item’s or expression’s agreed meaning, rather than derived from principles of language use, and not part of the conditions for the truth of the item or expression."
430,comitative case,"Comitative case is a case expressing accompaniment. It carries the meaning ""with"" or ""accompanied by."""
431,conjunction,"A conjunction is a word that:  syntactically links words or larger constituents, and expresses a semantic relationship between them.  A conjunction is positionally fixed relative to one or more of the elements related by it, thus distinguishing it from constituents such as English conjunctive adverbs."
432,conventional metaphor,A conventional metaphor is a metaphor that is commonly used in everyday language in a culture to give structure to some portion of that culture’s conceptual system.
433,causative case,Causative case is a case which expresses that the referent of the noun it marks is the cause of the situation expressed by the clause.
434,command,"Here are two senses for command:  A command is an illocutionary act that has the directive illocutionary point of getting another to do or not to do something. A command is a syntactic sentence type in a language that is used primarily to express such illocutionary acts, and is described as having imperative form."
